"gene","source_counts","rank"
"MALAT1",121271,1
"TMSB4X",73376,2
"FTL",62377,3
"S100A9",49318,4
"LYZ",48760,5
"B2M",46097,6
"MT-CO1",42019,7
"S100A8",41219,8
"ACTB",33532,9
"RPLP1",32448,10
"FTH1",31046,11
"RPL10",30791,12
"RPL34",29926,13
"EEF1A1",28826,14
"RPS27",27861,15
"RPL21",27828,16
"RPL39",27744,17
"MT-CO3",27409,18
"RPL41",27243,19
"RPL13",26304,20
"MT-CO2",24866,21
"TMSB10",23223,22
"RPL32",22945,23
"RPL13A",21758,24
"RPL26",19752,25
"RPS2",19649,26
"RPS14",19458,27
"RPS18",19457,28
"RPS3A",19253,29
"RPS24",18791,30
"S100A6",18575,31
"RPL28",18283,32
"TPT1",17920,33
"RPS12",17747,34
"S100A4",17347,35
"RPL18A",17339,36
"RPS15A",17221,37
"RPLP2",17011,38
"MT-ND4",16855,39
"RPL7",16788,40
"RPS28",16524,41
"RPL11",15907,42
"RPS27A",15531,43
"RPS6",15330,44
"RPS15",14786,45
"MT-ND3",14707,46
"FOS",14523,47
"RPS13",13870,48
"RPL12",13614,49
"TYROBP",13516,50
"HLA-B",13452,51
"RPS19",13417,52
"CST3",13281,53
"RPS29",12981,54
"HLA-DRA",12874,55
"CD74",12684,56
"RPL27A",12305,57
"MT-ND2",12272,58
"RPL35A",12068,59
"RPL19",11948,60
"RPS23",11910,61
"CTSS",11497,62
"RPL8",11434,63
"MT-ATP6",11351,64
"RPS8",11332,65
"RPL9",11326,66
"RPS9",11214,67
"PTMA",11164,68
"RPL37",11094,69
"RPL3",10693,70
"RPL37A",10593,71
"RPL15",10445,72
"RPS3",10094,73
"RPL36",10090,74
"MT-ND1",9724,75
"RPS4X",9680,76
"RPL35",9479,77
"EIF1",9476,78
"RPL23A",9432,79
"UBA52",9356,80
"FAU",9169,81
"RPL29",9012,82
"RPL30",8996,83
"RPS25",8761,84
"RPS17",8535,85
"RPS16",8362,86
"RPL6",8176,87
"H3F3B",8170,88
"RPL18",8121,89
"H3F3A",8117,90
"DUSP1",7918,91
"MT-CYB",7903,92
"CYBA",7891,93
"OAZ1",7797,94
"RPL31",7787,95
"ATP5E",7676,96
"LGALS1",7627,97
"NEAT1",7604,98
"GAPDH",7412,99
"RPL38",7227,100
"HLA-C",7152,101
"CD52",7136,102
"RPS11",7122,103
"RPL27",7097,104
"RPS7",7086,105
"SERF2",7048,106
"PFDN5",7011,107
"SAT1",6885,108
"RPL10A",6798,109
"PFN1",6687,110
"RPL14",6666,111
"RP11-1143G9.4",6536,112
"HLA-DRB1",6363,113
"RPS20",6337,114
"SH3BGRL3",6171,115
"VIM",6108,116
"GNB2L1",6077,117
"LST1",5927,118
"PABPC1",5918,119
"GPX1",5877,120
"RPL22",5876,121
"S100A12",5835,122
"AIF1",5835,123
"FCN1",5816,124
"RPS5",5612,125
"RPL23",5561,126
"NACA",5546,127
"HLA-A",5539,128
"RPL7A",5514,129
"MT-ND5",5412,130
"FCER1G",5294,131
"SRGN",5275,132
"RPL24",5124,133
"RPS21",5021,134
"RPL5",4964,135
"RPS10",4890,136
"PSAP",4879,137
"RPL36A",4861,138
"COTL1",4775,139
"S100A11",4773,140
"EEF1D",4569,141
"MNDA",4558,142
"JUNB",4555,143
"RPL4",4544,144
"CFL1",4133,145
"GSTP1",4037,146
"BTF3",4022,147
"RPLP0",4017,148
"UQCRB",3957,149
"COX4I1",3933,150
"ATP5G2",3837,151
"CSTA",3829,152
"MYL6",3739,153
"SLC25A6",3724,154
"ITM2B",3686,155
"HLA-DPB1",3652,156
"ZFP36",3613,157
"LGALS2",3581,158
"TYMP",3542,159
"ATP5L",3531,160
"C14orf2",3531,161
"HNRNPA1",3469,162
"ACTG1",3429,163
"TSPO",3346,164
"S100A10",3257,165
"RPSA",3145,166
"HLA-DPA1",3139,167
"AP1S2",3119,168
"COX7C",3109,169
"CALM2",3103,170
"VCAN",3102,171
"ARPC3",3061,172
"NFKBIA",3025,173
"NPC2",2962,174
"ARPC2",2954,175
"YBX1",2949,176
"EEF2",2930,177
"RPL17",2928,178
"TCEB2",2902,179
"HLA-DQB1",2894,180
"ALDOA",2750,181
"TXNIP",2734,182
"DDX5",2669,183
"CORO1A",2666,184
"TOMM7",2647,185
"KLF6",2591,186
"ARPC1B",2590,187
"BTG1",2448,188
"TMA7",2405,189
"ITGB2",2403,190
"RGS2",2396,191
"HCST",2387,192
"JUN",2380,193
"UQCR11",2370,194
"ANXA1",2353,195
"UBC",2331,196
"LAPTM5",2321,197
"EEF1B2",2312,198
"TKT",2243,199
"GRN",2220,200
